product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,date,cy_date,year,month_name,date_yy_mmm
Prod005,Cus007,Mark004,07-02-2020,1,417,INR,07-02-2020,01-02-2020,2020,February,"20-Feb"
Prod005,Cus007,Mark004,14-02-2020,1,310,INR,14-02-2020,01-02-2020,2020,February,"20-Feb"
Prod005,Cus007,Mark004,28-02-2020,1,208,INR,28-02-2020,01-02-2020,2020,February,"20-Feb"
Prod005,Cus007,Mark004,06-03-2020,1,620,INR,06-03-2020,01-03-2020,2020,March,"20-Mar"
Prod005,Cus007,Mark004,13-03-2020,1,620,INR,13-03-2020,01-03-2020,2020,March,"20-Mar"
Prod005,Cus007,Mark004,03-04-2020,1,829,INR,03-04-2020,01-04-2020,2020,April,"20-Apr"
Prod005,Cus007,Mark004,14-04-2020,4,2694,INR,14-04-2020,01-04-2020,2020,April,"20-Apr"
Prod005,Cus007,Mark004,20-04-2020,1,102,INR,20-04-2020,01-04-2020,2020,April,"20-Apr"
Prod005,Cus007,Mark004,15-05-2020,2,528,INR,15-05-2020,01-05-2020,2020,May,"20-May"
Prod006,Cus005,Mark004,24-10-2017,1,380,INR,24-10-2017,01-10-2017,2017,October,"17-Oct"
Prod006,Cus007,Mark004,25-10-2017,1,560,INR,25-10-2017,01-10-2017,2017,October,"17-Oct"
Prod006,Cus007,Mark004,30-10-2017,1,560,INR,30-10-2017,01-10-2017,2017,October,"17-Oct"
Prod006,Cus007,Mark004,27-11-2017,1,1116,INR,27-11-2017,01-11-2017,2017,November,"17-Nov"
Prod006,Cus008,Mark005,11-12-2017,1,657,INR,11-12-2017,01-12-2017,2017,December,"17-Dec"
Prod006,Cus007,Mark004,12-12-2017,1,560,INR,12-12-2017,01-12-2017,2017,December,"17-Dec"
Prod006,Cus008,Mark005,19-12-2017,1,657,INR,19-12-2017,01-12-2017,2017,December,"17-Dec"
Prod006,Cus007,Mark004,12-02-2018,1,560,INR,12-02-2018,01-02-2018,2018,February,"18-Feb"
Prod007,Cus007,Mark004,19-10-2018,11,6218,INR,19-10-2018,01-10-2018,2018,October,"18-Oct"
Prod008,Cus007,Mark004,20-11-2017,7,2426,INR,20-11-2017,01-11-2017,2017,November,"17-Nov"
Prod008,Cus007,Mark004,24-11-2017,33,15278,INR,24-11-2017,01-11-2017,2017,November,"17-Nov"
Prod009,Cus009,Mark002,14-11-2018,3,3032,INR,14-11-2018,01-11-2018,2018,November,"18-Nov"
Prod009,Cus010,Mark003,22-05-2019,2,3194,INR,22-05-2019,01-05-2019,2019,May,"19-May"
Prod009,Cus010,Mark003,23-05-2019,1,912,INR,23-05-2019,01-05-2019,2019,May,"19-May"
Prod009,Cus010,Mark003,28-05-2019,1,1824,INR,28-05-2019,01-05-2019,2019,May,"19-May"
Prod009,Cus010,Mark003,29-05-2019,1,458,INR,29-05-2019,01-05-2019,2019,May,"19-May"
Prod009,Cus003,Mark003,31-05-2019,3,4444,INR,31-05-2019,01-05-2019,2019,May,"19-May"
Prod009,Cus010,Mark003,03-06-2019,1,458,INR,03-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,04-06-2019,1,458,INR,04-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,05-06-2019,1,1824,INR,05-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus003,Mark003,05-06-2019,2,2667,INR,05-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,06-06-2019,14,19171,INR,06-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,07-06-2019,1,458,INR,07-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,11-06-2019,1,458,INR,11-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,12-06-2019,1,458,INR,12-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,14-06-2019,1,1370,INR,14-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus003,Mark003,14-06-2019,2,2667,INR,14-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus003,Mark003,17-06-2019,1,1333,INR,17-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus011,Mark003,18-06-2019,1,597,INR,18-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus003,Mark003,18-06-2019,7,8889,INR,18-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus003,Mark003,19-06-2019,1,1778,INR,19-06-2019,01-06-2019,2019,June,"19-Jun"
Prod009,Cus010,Mark003,28-06-2019,7,9130,INR,28-06-2019,01-06-2019,2019,June,"19-Jun"
Prod010,Cus011,Mark003,23-04-2018,1,602,INR,23-04-2018,01-04-2018,2018,April,"18-Apr"
Prod010,Cus012,Mark003,03-05-2018,2,3227,INR,03-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,04-05-2018,1,449,INR,04-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,07-05-2018,1,449,INR,07-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,09-05-2018,1,449,INR,09-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,11-05-2018,1,449,INR,11-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus013,Mark003,11-05-2018,7,9880,INR,11-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus011,Mark003,16-05-2018,1,301,INR,16-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus014,Mark003,16-05-2018,6,7954,INR,16-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus012,Mark003,17-05-2018,1,2153,INR,17-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus014,Mark003,17-05-2018,4,5306,INR,17-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,18-05-2018,1,1801,INR,18-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,23-05-2018,2,2699,INR,23-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus012,Mark003,24-05-2018,1,1616,INR,24-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,25-05-2018,2,2245,INR,25-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus015,Mark006,26-05-2018,1,0,INR,26-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus003,Mark003,28-05-2018,1,903,INR,28-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus014,Mark003,29-05-2018,4,5306,INR,29-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus010,Mark003,30-05-2018,3,3778,INR,30-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus012,Mark003,31-05-2018,1,537,INR,31-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus010,Mark003,31-05-2018,1,1417,INR,31-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus014,Mark003,31-05-2018,4,5306,INR,31-05-2018,01-05-2018,2018,May,"18-May"
Prod010,Cus010,Mark003,01-06-2018,1,472,INR,01-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,01-06-2018,3,4051,INR,01-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus013,Mark003,01-06-2018,10,14815,INR,01-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,06-06-2018,3,4495,INR,06-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus012,Mark003,07-06-2018,2,2690,INR,07-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus010,Mark003,07-06-2018,1,1417,INR,07-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,08-06-2018,1,449,INR,08-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus014,Mark003,08-06-2018,18,23866,INR,08-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,11-06-2018,1,898,INR,11-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus013,Mark003,11-06-2018,3,4940,INR,11-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,13-06-2018,1,449,INR,13-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus012,Mark003,14-06-2018,1,2153,INR,14-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus010,Mark003,14-06-2018,1,472,INR,14-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,14-06-2018,1,449,INR,14-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus014,Mark003,14-06-2018,4,5306,INR,14-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,15-06-2018,3,3602,INR,15-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus011,Mark003,18-06-2018,4,3583,INR,18-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus003,Mark003,18-06-2018,4,4954,INR,18-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus010,Mark003,21-06-2018,1,1889,INR,21-06-2018,01-06-2018,2018,June,"18-Jun"
Prod010,Cus010,Mark003,18-07-2018,1,472,INR,18-07-2018,01-07-2018,2018,July,"18-Jul"
Prod010,Cus003,Mark003,18-07-2018,1,1352,INR,18-07-2018,01-07-2018,2018,July,"18-Jul"
Prod010,Cus012,Mark003,19-07-2018,1,1616,INR,19-07-2018,01-07-2018,2018,July,"18-Jul"
Prod010,Cus003,Mark003,19-07-2018,1,449,INR,19-07-2018,01-07-2018,2018,July,"18-Jul"
Prod010,Cus003,Mark003,23-07-2018,1,1801,INR,23-07-2018,01-07-2018,2018,July,"18-Jul"
Prod010,Cus003,Mark003,30-07-2018,1,1801,INR,30-07-2018,01-07-2018,2018,July,"18-Jul"
Prod010,Cus003,Mark003,25-01-2019,1,449,INR,25-01-2019,01-01-2019,2019,January,"19-Jan"
Prod010,Cus003,Mark003,04-02-2019,1,449,INR,04-02-2019,01-02-2019,2019,February,"19-Feb"
Prod010,Cus003,Mark003,20-02-2019,1,449,INR,20-02-2019,01-02-2019,2019,February,"19-Feb"
Prod010,Cus003,Mark003,13-03-2019,1,444,INR,13-03-2019,01-03-2019,2019,March,"19-Mar"
Prod010,Cus003,Mark003,28-03-2019,1,444,INR,28-03-2019,01-03-2019,2019,March,"19-Mar"
Prod010,Cus003,Mark003,30-04-2019,1,0,INR,30-04-2019,01-04-2019,2019,April,"19-Apr"
Prod011,Cus016,Mark002,06-10-2017,1,505,INR,06-10-2017,01-10-2017,2017,October,"17-Oct"
Prod011,Cus016,Mark002,13-10-2017,1,1514,INR,13-10-2017,01-10-2017,2017,October,"17-Oct"
Prod011,Cus016,Mark002,20-10-2017,1,2023,INR,20-10-2017,01-10-2017,2017,October,"17-Oct"
Prod011,Cus016,Mark002,27-10-2017,25,37889,INR,27-10-2017,01-10-2017,2017,October,"17-Oct"
Prod011,Cus016,Mark002,08-02-2018,1,593,INR,08-02-2018,01-02-2018,2018,February,"18-Feb"
Prod011,Cus007,Mark004,16-02-2018,1,597,INR,16-02-2018,01-02-2018,2018,February,"18-Feb"
Prod011,Cus007,Mark004,26-02-2018,1,2389,INR,26-02-2018,01-02-2018,2018,February,"18-Feb"
Prod011,Cus016,Mark002,01-03-2018,1,593,INR,01-03-2018,01-03-2018,2018,March,"18-Mar"
Prod011,Cus007,Mark004,02-03-2018,1,1194,INR,02-03-2018,01-03-2018,2018,March,"18-Mar"
Prod011,Cus007,Mark004,05-03-2018,8,13736,INR,05-03-2018,01-03-2018,2018,March,"18-Mar"
Prod011,Cus007,Mark004,12-03-2018,1,1194,INR,12-03-2018,01-03-2018,2018,March,"18-Mar"
Prod011,Cus007,Mark004,03-04-2018,1,597,INR,03-04-2018,01-04-2018,2018,April,"18-Apr"
Prod011,Cus007,Mark004,09-04-2018,1,597,INR,09-04-2018,01-04-2018,2018,April,"18-Apr"
Prod011,Cus007,Mark004,13-04-2018,1,597,INR,13-04-2018,01-04-2018,2018,April,"18-Apr"
Prod011,Cus017,Mark007,24-04-2018,17,17472,INR,24-04-2018,01-04-2018,2018,April,"18-Apr"
Prod011,Cus007,Mark004,26-04-2018,2,2986,INR,26-04-2018,01-04-2018,2018,April,"18-Apr"
Prod011,Cus007,Mark004,27-04-2018,2,2986,INR,27-04-2018,01-04-2018,2018,April,"18-Apr"
Prod011,Cus007,Mark004,07-05-2018,1,597,INR,07-05-2018,01-05-2018,2018,May,"18-May"
Prod011,Cus007,Mark004,14-05-2018,1,1194,INR,14-05-2018,01-05-2018,2018,May,"18-May"
Prod011,Cus007,Mark004,18-05-2018,1,796,INR,18-05-2018,01-05-2018,2018,May,"18-May"
Prod011,Cus017,Mark007,31-05-2018,26,26722,INR,31-05-2018,01-05-2018,2018,May,"18-May"
Prod011,Cus007,Mark004,11-06-2018,1,796,INR,11-06-2018,01-06-2018,2018,June,"18-Jun"
Prod011,Cus007,Mark004,13-06-2018,1,796,INR,13-06-2018,01-06-2018,2018,June,"18-Jun"
Prod011,Cus007,Mark004,14-06-2018,1,3185,INR,14-06-2018,01-06-2018,2018,June,"18-Jun"
Prod011,Cus007,Mark004,18-06-2018,1,796,INR,18-06-2018,01-06-2018,2018,June,"18-Jun"
Prod011,Cus007,Mark004,22-06-2018,1,2389,INR,22-06-2018,01-06-2018,2018,June,"18-Jun"
Prod011,Cus007,Mark004,29-06-2018,1,3185,INR,29-06-2018,01-06-2018,2018,June,"18-Jun"
Prod011,Cus007,Mark004,09-07-2018,2,5574,INR,09-07-2018,01-07-2018,2018,July,"18-Jul"
Prod011,Cus007,Mark004,13-07-2018,1,796,INR,13-07-2018,01-07-2018,2018,July,"18-Jul"
Prod011,Cus007,Mark004,20-07-2018,1,796,INR,20-07-2018,01-07-2018,2018,July,"18-Jul"
Prod011,Cus007,Mark004,27-07-2018,1,796,INR,27-07-2018,01-07-2018,2018,July,"18-Jul"
Prod011,Cus007,Mark004,03-08-2018,1,1593,INR,03-08-2018,01-08-2018,2018,August,"18-Aug"
Prod011,Cus016,Mark002,12-10-2018,1,514,INR,12-10-2018,01-10-2018,2018,October,"18-Oct"
Prod011,Cus007,Mark004,17-10-2018,1,4759,INR,17-10-2018,01-10-2018,2018,October,"18-Oct"
Prod011,Cus007,Mark004,25-10-2018,1,1190,INR,25-10-2018,01-10-2018,2018,October,"18-Oct"
Prod011,Cus007,Mark004,26-10-2018,1,1190,INR,26-10-2018,01-10-2018,2018,October,"18-Oct"
Prod011,Cus016,Mark002,31-10-2018,3,4106,INR,31-10-2018,01-10-2018,2018,October,"18-Oct"
Prod011,Cus007,Mark004,05-11-2018,2,5949,INR,05-11-2018,01-11-2018,2018,November,"18-Nov"
Prod011,Cus007,Mark004,06-11-2018,2,5949,INR,06-11-2018,01-11-2018,2018,November,"18-Nov"
Prod011,Cus016,Mark002,07-12-2018,1,514,INR,07-12-2018,01-12-2018,2018,December,"18-Dec"
Prod011,Cus016,Mark002,14-12-2018,1,514,INR,14-12-2018,01-12-2018,2018,December,"18-Dec"
Prod011,Cus016,Mark002,21-12-2018,1,514,INR,21-12-2018,01-12-2018,2018,December,"18-Dec"
Prod011,Cus018,Mark002,28-12-2018,1,0,INR,28-12-2018,01-12-2018,2018,December,"18-Dec"
Prod011,Cus016,Mark002,28-01-2019,1,514,INR,28-01-2019,01-01-2019,2019,January,"19-Jan"
Prod011,Cus016,Mark002,01-02-2019,1,514,INR,01-02-2019,01-02-2019,2019,February,"19-Feb"
Prod011,Cus016,Mark002,08-02-2019,1,1028,INR,08-02-2019,01-02-2019,2019,February,"19-Feb"
Prod011,Cus016,Mark002,15-02-2019,1,2056,INR,15-02-2019,01-02-2019,2019,February,"19-Feb"
Prod011,Cus007,Mark004,22-02-2019,1,796,INR,22-02-2019,01-02-2019,2019,February,"19-Feb"
Prod011,Cus016,Mark002,22-02-2019,1,1542,INR,22-02-2019,01-02-2019,2019,February,"19-Feb"
Prod011,Cus016,Mark002,01-03-2019,1,514,INR,01-03-2019,01-03-2019,2019,March,"19-Mar"
